2024-11-16 17:39:35 - addr(ip='192.168.1.111', port=61540) -> addr(ip='107.167.125.189', port=443) - CLOSE_WAIT
2024-11-16 17:39:45 - addr(ip='192.168.1.111', port=61547) -> addr(ip='13.107.3.128', port=443) - ESTABLISHED
2024-11-16 17:40:00 - addr(ip='192.168.1.111', port=61548) -> addr(ip='18.172.202.51', port=443) - ESTABLISHED
2024-11-16 17:40:00 - addr(ip='192.168.1.111', port=61549) -> addr(ip='18.172.202.87', port=443) - ESTABLISHED
2024-11-16 17:40:05 - addr(ip='192.168.1.111', port=61558) -> addr(ip='20.42.73.30', port=443) - ESTABLISHED
2024-11-16 17:40:05 - addr(ip='192.168.1.111', port=61555) -> addr(ip='82.145.216.15', port=443) - ESTABLISHED
2024-11-16 17:40:05 - addr(ip='192.168.1.111', port=61557) -> addr(ip='82.145.216.15', port=443) - ESTABLISHED
2024-11-16 17:40:05 - addr(ip='192.168.1.111', port=61554) -> addr(ip='107.167.96.30', port=443) - ESTABLISHED
2024-11-16 17:40:05 - addr(ip='192.168.1.111', port=61552) -> addr(ip='23.194.61.68', port=443) - ESTABLISHED
2024-11-16 17:40:05 - addr(ip='192.168.1.111', port=61556) -> addr(ip='82.145.216.15', port=443) - ESTABLISHED
2024-11-16 17:40:05 - addr(ip='192.168.1.111', port=61553) -> addr(ip='42.99.140.171', port=443) - ESTABLISHED
2024-11-16 17:40:05 - addr(ip='192.168.1.111', port=61551) -> addr(ip='107.167.96.30', port=443) - ESTABLISHED
2024-11-16 17:40:10 - addr(ip='192.168.1.111', port=61560) -> addr(ip='52.113.194.132', port=443) - ESTABLISHED
2024-11-16 17:40:10 - addr(ip='192.168.1.111', port=61564) -> addr(ip='52.182.143.213', port=443) - ESTABLISHED
2024-11-16 17:40:10 - addr(ip='192.168.1.111', port=61559) -> addr(ip='52.113.194.132', port=443) - ESTABLISHED
2024-11-16 17:40:10 - addr(ip='192.168.1.111', port=61562) -> addr(ip='23.194.61.68', port=443) - ESTABLISHED
2024-11-16 17:40:10 - addr(ip='192.168.1.111', port=61563) -> addr(ip='20.189.173.18', port=443) - ESTABLISHED
2024-11-16 17:40:10 - addr(ip='192.168.1.111', port=61561) -> addr(ip='23.194.61.68', port=443) - ESTABLISHED
2024-11-16 17:40:20 - addr(ip='192.168.1.111', port=61565) -> addr(ip='18.233.53.252', port=443) - ESTABLISHED
2024-11-16 17:40:20 - addr(ip='192.168.1.111', port=61566) -> addr(ip='185.26.182.106', port=443) - ESTABLISHED
2024-11-16 17:40:25 - addr(ip='192.168.1.111', port=61569) -> addr(ip='107.167.110.211', port=443) - ESTABLISHED
2024-11-16 17:40:25 - addr(ip='192.168.1.111', port=61567) -> addr(ip='216.58.200.1', port=443) - ESTABLISHED
2024-11-16 17:40:25 - addr(ip='192.168.1.111', port=61579) -> addr(ip='107.167.96.31', port=443) - SYN_SENT
2024-11-16 17:40:25 - addr(ip='192.168.1.111', port=61577) -> addr(ip='104.18.32.47', port=443) - ESTABLISHED
2024-11-16 17:40:25 - addr(ip='192.168.1.111', port=61572) -> addr(ip='104.18.9.172', port=443) - ESTABLISHED
2024-11-16 17:40:25 - addr(ip='192.168.1.111', port=61576) -> addr(ip='23.194.61.68', port=443) - ESTABLISHED
2024-11-16 17:40:25 - addr(ip='192.168.1.111', port=61574) -> addr(ip='23.194.61.68', port=443) - ESTABLISHED
2024-11-16 17:40:25 - addr(ip='192.168.1.111', port=61573) -> addr(ip='23.194.61.68', port=443) - ESTABLISHED
2024-11-16 17:40:25 - addr(ip='192.168.1.111', port=61570) -> addr(ip='107.167.96.31', port=443) - ESTABLISHED
2024-11-16 17:40:25 - addr(ip='192.168.1.111', port=61578) -> addr(ip='107.167.96.31', port=443) - ESTABLISHED
2024-11-16 17:40:25 - addr(ip='192.168.1.111', port=61568) -> addr(ip='107.167.96.31', port=443) - ESTABLISHED
2024-11-16 17:40:25 - addr(ip='192.168.1.111', port=61575) -> addr(ip='172.64.155.209', port=443) - ESTABLISHED
2024-11-16 17:40:25 - addr(ip='192.168.1.111', port=61571) -> addr(ip='216.58.221.214', port=443) - ESTABLISHED
2024-11-16 17:40:30 - addr(ip='192.168.1.111', port=61581) -> addr(ip='162.247.243.29', port=443) - ESTABLISHED
2024-11-16 17:40:30 - addr(ip='192.168.1.111', port=61579) -> addr(ip='107.167.96.31', port=443) - ESTABLISHED
2024-11-16 17:40:30 - addr(ip='192.168.1.111', port=61580) -> addr(ip='162.247.243.29', port=443) - ESTABLISHED
2024-11-16 17:40:35 - addr(ip='192.168.1.111', port=61582) -> addr(ip='13.89.179.14', port=443) - ESTABLISHED
2024-11-16 17:40:35 - addr(ip='192.168.1.111', port=61585) -> addr(ip='49.231.120.217', port=80) - ESTABLISHED
2024-11-16 17:40:35 - addr(ip='192.168.1.111', port=61583) -> addr(ip='13.89.179.14', port=443) - ESTABLISHED
2024-11-16 17:40:35 - addr(ip='192.168.1.111', port=61584) -> addr(ip='49.231.120.217', port=80) - ESTABLISHED
2024-11-16 17:40:40 - addr(ip='192.168.1.111', port=61586) -> addr(ip='199.232.167.52', port=443) - ESTABLISHED
2024-11-16 17:40:40 - addr(ip='192.168.1.111', port=61589) -> addr(ip='199.232.167.52', port=443) - ESTABLISHED
2024-11-16 17:40:40 - addr(ip='192.168.1.111', port=61587) -> addr(ip='49.231.120.208', port=443) - ESTABLISHED
2024-11-16 17:40:40 - addr(ip='192.168.1.111', port=61588) -> addr(ip='199.232.167.52', port=443) - ESTABLISHED
2024-11-16 17:40:45 - addr(ip='192.168.1.111', port=61522) -> addr(ip='117.18.232.200', port=443) - TIME_WAIT
2024-11-16 17:41:00 - addr(ip='192.168.1.111', port=61591) -> addr(ip='72.25.64.32', port=443) - ESTABLISHED
2024-11-16 17:41:05 - addr(ip='192.168.1.111', port=61554) -> addr(ip='107.167.96.30', port=443) - CLOSE_WAIT
2024-11-16 17:41:05 - addr(ip='192.168.1.111', port=61592) -> addr(ip='52.69.18.72', port=443) - FIN_WAIT1
2024-11-16 17:41:05 - addr(ip='192.168.1.111', port=61556) -> addr(ip='82.145.216.15', port=443) - CLOSE_WAIT
2024-11-16 17:41:10 - addr(ip='192.168.1.111', port=61555) -> addr(ip='82.145.216.15', port=443) - TIME_WAIT
2024-11-16 17:41:10 - addr(ip='192.168.1.111', port=61551) -> addr(ip='107.167.96.30', port=443) - CLOSE_WAIT
2024-11-16 17:41:10 - addr(ip='192.168.1.111', port=61593) -> addr(ip='185.26.182.111', port=443) - ESTABLISHED
2024-11-16 17:41:10 - addr(ip='192.168.1.111', port=61584) -> addr(ip='49.231.120.217', port=80) - TIME_WAIT
2024-11-16 17:41:10 - addr(ip='192.168.1.111', port=61585) -> addr(ip='49.231.120.217', port=80) - TIME_WAIT
2024-11-16 17:41:25 - addr(ip='192.168.1.111', port=61566) -> addr(ip='185.26.182.106', port=443) - TIME_WAIT
2024-11-16 17:41:25 - addr(ip='192.168.1.111', port=61570) -> addr(ip='107.167.96.31', port=443) - CLOSE_WAIT
2024-11-16 17:41:30 - addr(ip='192.168.1.111', port=61579) -> addr(ip='107.167.96.31', port=443) - CLOSE_WAIT
2024-11-16 17:41:30 - addr(ip='192.168.1.111', port=61568) -> addr(ip='107.167.96.31', port=443) - CLOSE_WAIT
2024-11-16 17:41:35 - addr(ip='192.168.1.111', port=61569) -> addr(ip='107.167.110.211', port=443) - CLOSE_WAIT
2024-11-16 17:41:35 - addr(ip='192.168.1.111', port=61595) -> addr(ip='20.42.65.84', port=443) - ESTABLISHED
2024-11-16 17:41:35 - addr(ip='192.168.1.111', port=61578) -> addr(ip='107.167.96.31', port=443) - CLOSE_WAIT
2024-11-16 17:41:40 - addr(ip='192.168.1.111', port=61596) -> addr(ip='216.58.196.3', port=80) - ESTABLISHED
2024-11-16 17:41:40 - addr(ip='192.168.1.111', port=61597) -> addr(ip='96.16.101.68', port=80) - ESTABLISHED
2024-11-16 17:41:40 - addr(ip='192.168.1.111', port=61599) -> addr(ip='49.231.120.202', port=80) - ESTABLISHED
2024-11-16 17:41:40 - addr(ip='192.168.1.111', port=61600) -> addr(ip='49.231.112.88', port=80) - ESTABLISHED
2024-11-16 17:41:40 - addr(ip='192.168.1.111', port=61598) -> addr(ip='96.16.101.68', port=80) - ESTABLISHED
