2024-11-17 03:42:08 - System Idle Process (PID: 0) - CPU: 1171.1%, MEM: 4.8108945593833975e-05%
2024-11-17 03:43:08 - System Idle Process (PID: 0) - CPU: 1170.1%, MEM: 4.8108945593833975e-05%
2024-11-17 03:44:09 - System Idle Process (PID: 0) - CPU: 1170.0%, MEM: 4.8108945593833975e-05%
2024-11-17 03:45:09 - System Idle Process (PID: 0) - CPU: 1170.8%, MEM: 4.8108945593833975e-05%
2024-11-17 03:46:10 - System Idle Process (PID: 0) - CPU: 1173.5%, MEM: 4.8108945593833975e-05%
2024-11-17 03:47:10 - System Idle Process (PID: 0) - CPU: 1174.3%, MEM: 4.8108945593833975e-05%
2024-11-17 03:48:11 - System Idle Process (PID: 0) - CPU: 1173.1%, MEM: 4.8108945593833975e-05%
2024-11-17 03:49:12 - System Idle Process (PID: 0) - CPU: 1171.8%, MEM: 4.8108945593833975e-05%
2024-11-17 03:50:12 - System Idle Process (PID: 0) - CPU: 1171.2%, MEM: 4.8108945593833975e-05%
2024-11-17 03:51:13 - System Idle Process (PID: 0) - CPU: 1173.1%, MEM: 4.8108945593833975e-05%
2024-11-17 03:52:13 - System Idle Process (PID: 0) - CPU: 1168.8%, MEM: 4.8108945593833975e-05%
2024-11-17 03:53:14 - System Idle Process (PID: 0) - CPU: 1168.3%, MEM: 4.8108945593833975e-05%
2024-11-17 03:54:15 - System Idle Process (PID: 0) - CPU: 1156.4%, MEM: 4.8108945593833975e-05%
2024-11-17 03:55:15 - System Idle Process (PID: 0) - CPU: 1151.6%, MEM: 4.8108945593833975e-05%
2024-11-17 03:56:16 - System Idle Process (PID: 0) - CPU: 1168.3%, MEM: 4.8108945593833975e-05%
2024-11-17 03:57:16 - System Idle Process (PID: 0) - CPU: 1143.6%, MEM: 4.8108945593833975e-05%
2024-11-17 03:58:17 - System Idle Process (PID: 0) - CPU: 1178.7%, MEM: 4.8108945593833975e-05%
2024-11-17 03:59:18 - System Idle Process (PID: 0) - CPU: 1158.3%, MEM: 4.8108945593833975e-05%
2024-11-17 04:00:18 - System Idle Process (PID: 0) - CPU: 1160.7%, MEM: 4.8108945593833975e-05%
2024-11-17 04:01:19 - System Idle Process (PID: 0) - CPU: 1167.1%, MEM: 4.8108945593833975e-05%
2024-11-17 04:02:19 - System Idle Process (PID: 0) - CPU: 1158.7%, MEM: 4.8108945593833975e-05%
2024-11-17 04:03:20 - System Idle Process (PID: 0) - CPU: 1175.8%, MEM: 4.8108945593833975e-05%
2024-11-17 04:04:20 - System Idle Process (PID: 0) - CPU: 1159.8%, MEM: 4.8108945593833975e-05%
2024-11-17 04:05:21 - System Idle Process (PID: 0) - CPU: 1153.6%, MEM: 4.8108945593833975e-05%
2024-11-17 04:08:17 - System Idle Process (PID: 0) - CPU: 1179.6%, MEM: 4.8108945593833975e-05%
2024-11-17 04:10:06 - System Idle Process (PID: 0) - CPU: 1179.8%, MEM: 4.8108945593833975e-05%
2024-11-17 04:11:07 - System Idle Process (PID: 0) - CPU: 1181.4%, MEM: 4.8108945593833975e-05%
2024-11-17 04:12:08 - System Idle Process (PID: 0) - CPU: 1178.0%, MEM: 4.8108945593833975e-05%
2024-11-17 04:13:08 - System Idle Process (PID: 0) - CPU: 1178.6%, MEM: 4.8108945593833975e-05%
2024-11-17 04:15:16 - System Idle Process (PID: 0) - CPU: 1167.4%, MEM: 4.8108945593833975e-05%
2024-11-17 04:16:17 - System Idle Process (PID: 0) - CPU: 1172.2%, MEM: 4.8108945593833975e-05%
2024-11-17 04:18:13 - System Idle Process (PID: 0) - CPU: 1160.1%, MEM: 4.8108945593833975e-05%
2024-11-17 04:19:13 - System Idle Process (PID: 0) - CPU: 1162.5%, MEM: 4.8108945593833975e-05%
2024-11-17 04:24:56 - System Idle Process (PID: 0) - CPU: 1179.0%, MEM: 4.8108945593833975e-05%
2024-11-17 04:25:57 - System Idle Process (PID: 0) - CPU: 1181.7%, MEM: 4.8108945593833975e-05%
2024-11-17 04:26:58 - System Idle Process (PID: 0) - CPU: 1176.7%, MEM: 4.8108945593833975e-05%
2024-11-17 04:27:58 - System Idle Process (PID: 0) - CPU: 1125.9%, MEM: 4.8108945593833975e-05%
2024-11-17 04:28:59 - System Idle Process (PID: 0) - CPU: 1121.8%, MEM: 4.8108945593833975e-05%
2024-11-17 04:29:59 - System Idle Process (PID: 0) - CPU: 1085.9%, MEM: 4.8108945593833975e-05%
2024-11-17 04:31:00 - System Idle Process (PID: 0) - CPU: 1089.3%, MEM: 4.8108945593833975e-05%
2024-11-17 04:31:00 - VRChat.exe (PID: 21632) - CPU: 85.6%, MEM: 35.89807735004381%
2024-11-17 04:32:00 - System Idle Process (PID: 0) - CPU: 1099.4%, MEM: 4.8108945593833975e-05%
2024-11-17 04:33:01 - System Idle Process (PID: 0) - CPU: 1095.7%, MEM: 4.8108945593833975e-05%
2024-11-17 04:34:01 - System Idle Process (PID: 0) - CPU: 1074.3%, MEM: 4.8108945593833975e-05%
2024-11-17 04:34:01 - VRChat.exe (PID: 21632) - CPU: 103.6%, MEM: 36.43617590651085%
2024-11-17 04:35:02 - System Idle Process (PID: 0) - CPU: 1086.0%, MEM: 4.8108945593833975e-05%
2024-11-17 04:35:02 - VRChat.exe (PID: 21632) - CPU: 92.4%, MEM: 37.2159738056413%
2024-11-17 04:36:02 - System Idle Process (PID: 0) - CPU: 1114.1%, MEM: 4.8108945593833975e-05%
2024-11-17 04:37:02 - System Idle Process (PID: 0) - CPU: 1106.0%, MEM: 4.8108945593833975e-05%
2024-11-17 04:38:03 - System Idle Process (PID: 0) - CPU: 1045.0%, MEM: 4.8108945593833975e-05%
2024-11-17 04:38:03 - VRChat.exe (PID: 21632) - CPU: 122.2%, MEM: 29.063359721891807%
2024-11-17 04:39:03 - System Idle Process (PID: 0) - CPU: 1081.0%, MEM: 4.8108945593833975e-05%
2024-11-17 04:39:04 - VRChat.exe (PID: 21632) - CPU: 87.7%, MEM: 34.17337165050487%
2024-11-17 04:40:04 - System Idle Process (PID: 0) - CPU: 1104.3%, MEM: 4.8108945593833975e-05%
2024-11-17 04:41:04 - System Idle Process (PID: 0) - CPU: 1104.7%, MEM: 4.8108945593833975e-05%
2024-11-17 04:42:05 - System Idle Process (PID: 0) - CPU: 1059.4%, MEM: 4.8108945593833975e-05%
2024-11-17 04:42:05 - VRChat.exe (PID: 21632) - CPU: 103.3%, MEM: 27.950142775323283%
2024-11-17 04:43:05 - System Idle Process (PID: 0) - CPU: 1091.6%, MEM: 4.8108945593833975e-05%
2024-11-17 04:44:06 - System Idle Process (PID: 0) - CPU: 1092.3%, MEM: 4.8108945593833975e-05%
2024-11-17 04:45:06 - System Idle Process (PID: 0) - CPU: 1095.6%, MEM: 4.8108945593833975e-05%
2024-11-17 04:45:07 - VRChat.exe (PID: 21632) - CPU: 81.7%, MEM: 36.22016674079453%
